code,name,theme,held,mine,grade,score,heat,entry,ex12_%,semi_core,mgmt,stop_line,adtv,verdict
124500,아이티센글로벌,반도체/전자,False,False,S,13.0,warm,관망,-4.0,False,추세이탈→축소,38358.5,77.0,주도 정렬 — 관찰 유지
097230,HJ중공업,건설/엔지니어링,False,False,S,13.0,warm,관망,94.0,False,추세이탈→축소,23357.8,231.0,주도 정렬 — 관찰 유지
020000,한섬,유통/소비/식품,False,False,S,12.67,warm,관망,-38.0,False,추세이탈→축소,20525.2,40.0,주도 정렬 — 관찰 유지
139480,이마트,유통/소비/식품,False,False,S,12.67,warm,관망,-73.0,False,추세이탈→축소,89890.0,144.0,주도 정렬 — 관찰 유지
448730,삼성FN리츠,건설/엔지니어링,False,False,S,12.33,warm,관망,-60.0,False,손절선이탈→축소,6093.2,5.0,주도 정렬 — 관찰 유지
018260,삼성에스디에스,반도체/전자,False,False,S,12.33,warm,관망,0.0,False,손절선이탈→축소,271196.4,6083.0,주도 정렬 — 관찰 유지
443060,HD현대마린솔루션,건설/엔지니어링,False,False,S,12.33,warm,관망,-66.0,False,추세이탈→축소,202925.0,592.0,주도 정렬 — 관찰 유지
039030,이오테크닉스,기계/장비,False,False,S,12.33,warm,관망,80.0,False,추세이탈→축소,377637.5,726.0,주도 정렬 — 관찰 유지
018880,한온시스템,기계/장비,False,False,S,12.0,warm,관망,-3.0,False,추세이탈→축소,3958.9,1004.0,주도 정렬 — 관찰 유지
222080,씨아이에스,기계/장비,False,False,S,12.0,warm,관망,-18.0,False,추세이탈→축소,10440.8,181.0,주도 정렬 — 관찰 유지
006360,GS건설,건설/엔지니어링,False,False,S,12.0,warm,관망,-41.0,False,추세이탈→축소,25455.0,259.0,주도 정렬 — 관찰 유지
022100,포스코DX,건설/엔지니어링,False,False,S,12.0,warm,관망,-26.0,False,추세이탈→축소,29905.0,770.0,주도 정렬 — 관찰 유지
005300,롯데칠성,유통/소비/식품,False,False,S,12.0,warm,관망,-87.0,False,추세이탈→축소,120182.5,36.0,주도 정렬 — 관찰 유지
000080,하이트진로,유통/소비/식품,False,False,S,12.0,warm,관망,-97.0,False,추세이탈→축소,17213.2,62.0,주도 정렬 — 관찰 유지
282330,BGF리테일,유통/소비/식품,False,False,S,12.0,warm,관망,-67.0,False,보유OK,121602.5,93.0,주도 정렬 — 관찰 유지
247540,에코프로비엠,2차전지,False,True,A,11.33,cold,관망,20.0,False,추세이탈→축소,177005.0,1774.0,비주도 — 관찰
353200,대덕전자,반도체/전자,False,True,A,10.67,warm,관망,732.0,False,손절선이탈→축소,107633.9,2666.0,강하나 과열 — 눌림/셋업 대기
