순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가
1,025900,동화기업,KOSDAQ,30.00,8060,10515741190,1338415,407491717100,Y
2,162300,신스틸,KOSDAQ,29.96,1852,8987239108,5040474,76804999464,Y
3,900340,윙입푸드,KOSDAQ,29.93,1554,529844934,346924,19553565528,Y
4,001290,상상인증권,KOSPI,29.91,1203,1660569471,1380357,130329555360,Y
5,011330,유니켐,KOSPI,29.89,5910,380986790,64465,53301007530,Y
6,003010,혜인,KOSPI,29.89,5910,20418190175,3565034,75132334770,Y
7,062970,한국첨단소재,KOSDAQ,29.89,3020,11835665029,3992129,86203807140,Y
8,042040,케이피엠테크,KOSDAQ,29.85,5590,613836540,113352,48470839690,Y
9,226340,본느,KOSDAQ,29.84,6200,4358620910,709689,52021000800,Y
10,083470,이엠앤아이,KOSDAQ,20.99,980,1097405400,1146274,20913522420,
11,348370,엔켐,KOSDAQ,18.62,24850,12442908375,532234,544488176050,
12,138080,오이솔루션,KOSDAQ,18.53,26550,42840028975,1651103,328629474900,
13,318020,포인트모바일,KOSDAQ,16.59,2495,591027121,237611,30691673640,
14,397810,애드포러스,KOSDAQ,16.25,5080,2969201765,580004,26216711600,
15,114190,강원에너지,KOSDAQ,15.52,9380,6189570860,689619,245034096440,
16,017900,광전자,KOSPI,15.02,7810,174457778135,21908635,452540789030,
17,347700,스피어,KOSDAQ,14.96,23050,71681220350,3110441,1188258894100,
18,282330,BGF리테일,KOSPI,14.68,153100,33175771950,218092,2646166008600,
19,295310,에이치브이엠,KOSDAQ,14.48,50200,22248557725,448125,609839439200,
20,126730,코칩,KOSDAQ,13.88,14690,32330595220,2100739,128833150940,
21,234300,에스트래픽,KOSDAQ,13.73,3065,1802920350,605575,83391845700,
22,006490,프리티,KOSPI,13.55,989,600122360,609472,29251873547,
23,179900,유티아이,KOSDAQ,13.20,2230,5973868731,2627688,44132618760,
24,066970,엘앤에프,KOSPI,13.03,90200,115153763350,1289672,3669630052000,
25,050090,비케이홀딩스,KOSDAQ,12.85,518,250349378,492605,12190992730,
26,027040,서울전자통신,KOSDAQ,12.83,2225,1566927429,685258,30967036025,
27,073190,듀오백,KOSDAQ,12.56,1559,349276969,231803,18658174360,
28,084650,랩지노믹스,KOSDAQ,12.50,882,11657680203,12128624,65479671180,
29,053260,금강철강,KOSDAQ,12.47,5320,14605316825,2583404,99590400000,
30,280360,롯데웰푸드,KOSPI,12.40,116900,12071815900,105777,1076014700600,
31,950220,네오이뮨텍,KOSDAQ,12.01,1529,3691150440,2312703,52309903360,
32,089600,KT나스미디어,KOSDAQ,11.94,11530,2242545795,198271,133380919390,
33,010060,OCI홀딩스,KOSPI,11.68,272500,294136201500,1122836,5087638220000,
34,009830,한화솔루션,KOSPI,11.51,33900,689535326875,19924928,5827156970400,
35,189330,씨이랩,KOSDAQ,11.43,11700,14382784195,1232119,109772722800,
36,452200,민테크,KOSDAQ,11.31,1447,895673393,621251,35209561600,
37,091580,상신이디피,KOSDAQ,11.31,15840,4115287515,268786,211118988960,
38,294140,레몬,KOSDAQ,10.93,2080,706114745,322986,51822821440,
39,096770,SK이노베이션,KOSPI,10.77,120300,146746472750,1271355,20337050396400,
40,054220,비츠로시스,KOSDAQ,10.65,1589,460011727,298843,20006488824,
41,340360,다보링크,KOSDAQ,10.49,1001,1528430068,1565785,52114834772,
42,149980,하이로닉,KOSDAQ,10.33,5340,260762725,50386,91842905640,
43,006110,삼아알미늄,KOSPI,10.28,47200,11652433575,253421,713827076000,
44,010950,S-Oil,KOSPI,10.17,137600,76491980250,569842,15491392179200,
45,215480,토박스코리아,KOSDAQ,9.83,2090,468441121,221038,22446600000,
46,001390,KG케미칼,KOSPI,9.70,4805,3937363046,840311,323054709150,
47,261200,덴티스,KOSDAQ,9.62,2905,2891780487,944554,45927178500,
48,039980,폴라리스AI,KOSDAQ,9.48,6470,60643782465,9302809,93046454580,
49,363250,진시스템,KOSDAQ,9.43,4700,231409725,52123,39989395400,
50,261780,아리바이오랩,KOSDAQ,9.41,2325,846083620,381087,65132347725,
51,099220,SDN,KOSDAQ,9.40,698,3006766978,3998642,43935156300,
52,015260,에이엔피,KOSPI,9.36,374,2121418341,5421054,17621718356,
53,005090,SGC에너지,KOSPI,9.20,54000,14990284600,281165,778103982000,
54,042600,새로닉스,KOSDAQ,9.20,9970,729313380,75843,123863032780,
55,225590,패션플랫폼,KOSDAQ,9.15,3100,148286409,50178,15876265600,
56,041960,코미팜,KOSDAQ,9.04,8320,4343573555,533928,614735638400,
57,002820,SUNL,KOSPI,8.99,2485,178472520,76144,29977061940,
58,227610,아우딘퓨쳐스,KOSDAQ,8.52,1172,415866592,342514,22706997212,
59,373170,엠아이큐브솔루션,KOSDAQ,8.48,1790,23704473,13553,27053684100,
60,090360,로보스타,KOSDAQ,8.47,87100,28213306250,342416,849225000000,
61,461300,아이스크림미디어,KOSDAQ,8.37,18000,1783423285,102590,239830794000,
62,191410,육일씨엔에쓰,KOSDAQ,8.32,1523,204513552,137714,17064080365,
63,101970,우양에이치씨,KOSDAQ,8.21,10150,56054020,5888,150118591350,
64,004415,서울식품우,KOSPI,8.19,5350,217788810,37725,1190107500,
65,387690,레메디,KOSDAQ,8.11,10530,64968553475,5780527,80299579230,
66,122900,아이마켓코리아,KOSPI,7.97,7990,3777643505,482613,267096431600,
67,006400,삼성SDI,KOSPI,7.49,459000,312677779530,689155,36988758270000,
68,457370,한켐,KOSDAQ,7.35,7010,18631524735,2514123,56550609340,
69,317330,덕산테코피아,KOSDAQ,7.32,11000,2023583815,184541,225242424000,
70,363260,모비데이즈,KOSDAQ,7.29,883,190444721,218106,28400608027,
