date,code,slot,open,high,low,close,volume
2026-07-23,066310,PM,7060.0,7140.0,7060.0,7130.0,3157
2026-07-23,045390,AM,2525.0,2545.0,2485.0,2510.0,143701
2026-07-23,045390,PM,2510.0,2545.0,2505.0,2545.0,64359
2026-07-23,361610,AM,13790.0,14270.0,13790.0,14250.0,30424
2026-07-23,361610,PM,14240.0,14690.0,14240.0,14690.0,47213
2026-07-23,065450,AM,3055.0,3080.0,3035.0,3080.0,71208
2026-07-23,065450,PM,3080.0,3110.0,3065.0,3110.0,69421
2026-07-23,241790,AM,4720.0,4770.0,4650.0,4700.0,2785
2026-07-23,241790,PM,4670.0,4775.0,4670.0,4775.0,1284
2026-07-23,034220,AM,10270.0,10400.0,10225.0,10370.0,1058235
2026-07-23,034220,PM,10350.0,10490.0,10330.0,10480.0,1267479
2026-07-23,265520,AM,19380.0,19400.0,18890.0,19310.0,20354
2026-07-23,265520,PM,19290.0,19560.0,19130.0,19520.0,6447
2026-07-23,299030,AM,12110.0,12110.0,11810.0,12070.0,6070
2026-07-23,299030,PM,12070.0,12600.0,12070.0,12600.0,6601
2026-07-23,071280,AM,6590.0,6790.0,6570.0,6790.0,14394
2026-07-23,071280,PM,6780.0,6890.0,6740.0,6890.0,8926
2026-07-23,137400,AM,29300.0,29750.0,29150.0,29750.0,26756
2026-07-23,137400,PM,29700.0,30500.0,29700.0,30450.0,21544
2026-07-23,248070,AM,14410.0,14610.0,14350.0,14570.0,22878
2026-07-23,248070,PM,14570.0,14900.0,14530.0,14850.0,19372
2026-07-23,222080,AM,7260.0,7350.0,7120.0,7280.0,135134
2026-07-23,222080,PM,7280.0,7480.0,7270.0,7480.0,110020
2026-07-23,272290,AM,20500.0,20750.0,20200.0,20650.0,26297
2026-07-23,272290,PM,20650.0,21200.0,20600.0,21200.0,17315
2026-07-23,054450,AM,9470.0,9580.0,9260.0,9460.0,24905
2026-07-23,054450,PM,9450.0,9590.0,9440.0,9550.0,9589
2026-07-23,083310,AM,8240.0,8290.0,8030.0,8180.0,8280
2026-07-23,083310,PM,8180.0,8350.0,8140.0,8350.0,7780
2026-07-23,264660,AM,12570.0,12690.0,12300.0,12600.0,5988
2026-07-23,264660,PM,12600.0,12700.0,12480.0,12690.0,7117
2026-07-23,017800,AM,69200.0,69800.0,69100.0,69800.0,19577
2026-07-23,017800,PM,69900.0,70400.0,69300.0,70400.0,30961
2026-07-23,014940,AM,4460.0,4505.0,4420.0,4505.0,42420
2026-07-23,014940,PM,4500.0,4605.0,4490.0,4595.0,47907
2026-07-23,190510,AM,13260.0,13500.0,13060.0,13300.0,10929
2026-07-23,190510,PM,13270.0,13640.0,13270.0,13590.0,5389
2026-07-23,267320,AM,1955.0,1957.0,1926.0,1954.0,62588
2026-07-23,267320,PM,1954.0,1998.0,1953.0,1995.0,57752
2026-07-23,017550,AM,1645.0,1664.0,1637.0,1654.0,84006
2026-07-23,017550,PM,1654.0,1680.0,1654.0,1680.0,53954
2026-07-23,102120,AM,7130.0,7190.0,7020.0,7150.0,24652
2026-07-23,102120,PM,7150.0,7250.0,7110.0,7250.0,7832
2026-07-23,101160,AM,30300.0,30500.0,29250.0,29950.0,12157
2026-07-23,101160,PM,29900.0,30450.0,29900.0,30400.0,12599
2026-07-23,082210,AM,2100.0,2185.0,2065.0,2115.0,35721
2026-07-23,082210,PM,2140.0,2140.0,2075.0,2140.0,50350
2026-07-23,099440,AM,3120.0,3235.0,3050.0,3215.0,184476
2026-07-23,099440,PM,3210.0,3315.0,3197.0,3315.0,105226
2026-07-23,078890,AM,3805.0,3845.0,3755.0,3830.0,26175
2026-07-23,078890,PM,3845.0,3935.0,3840.0,3935.0,20231
2026-07-23,463480,AM,4135.0,4165.0,4060.0,4125.0,3421
2026-07-23,463480,PM,4125.0,4210.0,4125.0,4170.0,1812
2026-07-23,033500,AM,16140.0,16580.0,16140.0,16580.0,33434
2026-07-23,033500,PM,16560.0,17100.0,16490.0,17050.0,48826
2026-07-23,071670,AM,5180.0,5230.0,5110.0,5200.0,8235
2026-07-23,071670,PM,5200.0,5270.0,5190.0,5270.0,5847
2026-07-23,073490,AM,28050.0,29350.0,27750.0,29300.0,28131
2026-07-23,073490,PM,29150.0,29900.0,29050.0,29900.0,11146
2026-07-23,213420,AM,29900.0,30150.0,29500.0,30150.0,30728
2026-07-23,213420,PM,30150.0,31000.0,30150.0,31000.0,29134
2026-07-23,088130,AM,5020.0,5120.0,4990.0,5110.0,16076
2026-07-23,088130,PM,5110.0,5200.0,5080.0,5170.0,11469
2026-07-23,100840,AM,25700.0,26500.0,25650.0,26450.0,40962
2026-07-23,100840,PM,26450.0,27850.0,26450.0,27800.0,20836
2026-07-23,033240,AM,25950.0,26050.0,24750.0,25350.0,22247
2026-07-23,033240,PM,25350.0,25700.0,25300.0,25700.0,8600
2026-07-23,008830,AM,8930.0,9070.0,8880.0,9070.0,13630
2026-07-23,008830,PM,9070.0,9310.0,9050.0,9300.0,9886
2026-07-23,100660,AM,2940.0,2985.0,2930.0,2955.0,6612
2026-07-23,100660,PM,2935.0,2955.0,2925.0,2950.0,12847
2026-07-23,251630,AM,3620.0,3720.0,3545.0,3610.0,9691
