star,code,name,ap,order,pbr,deep,bounce,imae,fmae,ext,r20,c,buy,stop,resist,vflag,tag
✦,455900,엔젤로보틱스,하락회피,역배열,9.44,0,1,0,0,0.74,16.0,20350,,16280,32700,소진,사냥터
✦,052020,에스티큐브,하락회피,역배열,8.14,0,1,0,0,0.73,5.0,7800,,6305,15850,보합,사냥터
✦,087010,펩트론,하락회피,역배열,30.16,0,1,0,0,0.72,64.0,178600,,142880,332000,소진,사냥터
✦,048410,현대바이오,하락회피,역배열,7.13,0,1,0,0,0.71,2.0,6650,,5320,16690,소진,사냥터
✦,209640,와이제이링크,하락회피,역배열,1.63,0,1,0,0,0.71,1.0,3200,,2599,9110,소진,사냥터
✦,215600,신라젠,하락회피,역배열,2.89,0,1,0,0,0.71,6.0,2215,,1772,3280,증가⚠,사냥터
✦,232680,라온로보틱스,하락회피,역배열,3.59,0,1,0,0,0.71,4.0,9190,,7352,23900,소진,사냥터
✦,009520,포스코엠텍,하락회피,역배열,4.63,0,1,1,1,0.7,4.0,11360,,9702,17930,소진,사냥터
✦,025320,시노펙스,하락회피,역배열,3.23,0,1,0,1,0.7,7.0,3935,,3165,6270,소진,사냥터
✦,267320,나인테크,하락회피,역배열,1.35,0,1,0,0,0.7,4.0,2070,,1788,3450,소진,사냥터
✦,448900,한국피아이엠,하락회피,역배열,6.14,0,1,0,0,0.7,0.0,52700,,42160,113100,보합,사냥터
✦,464080,에스오에스랩,하락회피,역배열,6.98,0,1,0,0,0.7,13.0,9620,,7816,14850,증가⚠,사냥터
✦,073010,케이에스피,하락회피,역배열,1.48,0,1,0,0,0.69,0.0,2785,,2284,4780,보합,사냥터
✦,107640,한중엔시에스,하락회피,역배열,3.48,0,1,0,0,0.69,0.0,32550,,26273,57900,증가⚠,사냥터
✦,418420,라온텍,하락회피,역배열,7.92,0,1,0,0,0.69,5.0,3685,,2948,11340,소진,사냥터
✦,036810,에프에스티,하락회피,역배열,2.23,0,1,0,0,0.68,8.0,22650,,18120,37150,증가⚠,사냥터
✦,459510,나우로보틱스,하락회피,역배열,12.1,0,1,0,0,0.68,5.0,14830,,11864,25300,소진,사냥터
✦,060280,큐렉소,하락회피,역배열,3.89,0,1,0,0,0.67,3.0,8660,,7052,13080,보합,사냥터
✦,086390,유니테스트,하락회피,역배열,2.57,0,1,0,0,0.66,2.0,9850,,7957,19410,증가⚠,사냥터
✦,295310,에이치브이엠,하락회피,역배열,7.65,0,1,0,0,0.66,5.0,44750,,35800,131700,소진,사냥터
✦,310210,보로노이,하락회피,역배열,32.88,0,1,0,0,0.66,14.0,152100,,121680,299000,보합,사냥터
✦,140670,알에스오토메이션,하락회피,역배열,2.34,0,1,1,0,0.64,2.0,9680,,8187,15770,소진,사냥터
✦,174900,앱클론,하락회피,역배열,9.41,0,1,0,0,0.64,33.0,27550,,22040,45000,증가⚠,사냥터
✦,365340,성일하이텍,하락회피,역배열,4.01,0,1,0,0,0.64,4.0,32900,,26730,66900,증가⚠,사냥터
✦,232140,와이씨,하락회피,역배열,2.93,0,1,0,0,0.63,3.0,9970,,8202,19990,보합,사냥터
✦,417010,나노팀,하락회피,역배열,2.32,0,1,0,0,0.62,10.0,4945,,3956,15930,소진,사냥터
✦,432720,퀄리타스반도체,하락회피,역배열,4.02,0,1,0,0,0.62,5.0,8680,,7005,21900,소진,사냥터
✦,100790,미래에셋벤처투자,하락회피,역배열,2.73,0,1,0,0,0.61,0.0,14500,,11600,62100,소진,사냥터
✦,475400,씨메스로보틱스,하락회피,역배열,3.91,0,1,0,0,0.61,6.0,18340,,14672,30500,소진,사냥터
✦,215100,로보로보,하락회피,역배열,2.85,0,1,0,0,0.58,0.0,4040,,3301,7130,소진,사냥터
✦,321370,센서뷰,하락회피,역배열,6.59,0,1,0,0,0.58,2.0,1315,,1052,4035,증가⚠,사냥터
✦,466100,클로봇,하락회피,역배열,12.98,0,1,0,0,0.58,3.0,27150,,21720,50500,증가⚠,사냥터
✦,358570,지아이이노베이션,하락회피,역배열,5.66,0,1,0,0,0.56,1.0,7630,,6104,15900,보합,사냥터
✦,389020,자람테크놀로지,하락회피,역배열,4.23,0,1,0,0,0.54,0.0,20650,,16520,46500,소진,사냥터
✦,456160,지투지바이오,하락회피,역배열,11.67,0,1,0,0,0.53,23.0,37400,,29920,71300,보합,사냥터
✦,298380,에이비엘바이오,하락회피,역배열,35.45,0,1,0,1,0.52,1.0,75200,,60160,123900,소진,사냥터
✦,445680,큐리옥스바이오시스템즈,하락회피,역배열,15.68,0,1,0,0,0.51,16.0,43250,,34600,99900,증가⚠,사냥터
✦,474650,링크솔루션,하락회피,역배열,4.52,0,1,0,0,0.47,1.0,22800,,18240,53500,보합,사냥터
✦,000250,삼천당제약,하락회피,역배열,19.04,0,1,0,1,0.46,2.0,168700,,134960,381500,소진,사냥터
✦,160190,하이젠알앤엠,하락회피,역배열,5.8,0,1,0,0,0.42,10.0,18250,,14600,38000,증가⚠,사냥터
★,454910,두산로보틱스,하락회피,역배열,16.79,0,1,0,1,0.79,2.0,70900,,58382,170000,소진,사냥터·테마
✦,007390,네이처셀,추세매수,혼조,23.77,0,0,0,1,1.05,-1.0,23750,22840,20250,36950,소진,사냥터
✦,059090,미코,추세매수,혼조,4.87,0,0,0,0,1.05,10.0,17250,16171,13916,25250,증가⚠,사냥터
✦,307950,현대오토에버,추세매수,혼조,7.87,0,0,0,0,1.05,4.0,448000,408900,363982,1066000,증가⚠,사냥터
✦,356680,엑스게이트,추세매수,혼조,10.13,0,0,0,0,1.05,3.0,11430,11044,9144,30550,소진,사냥터
✦,002900,TYM,추세매수,혼조,0.57,0,0,0,0,1.06,11.0,7160,6586,6201,7640,보합,사냥터
✦,064760,티씨케이,추세매수,혼조,5.87,0,0,0,0,1.04,13.0,225500,194970,180400,313500,보합,사냥터
✦,072950,빛샘전자,추세매수,혼조,0.77,0,0,0,0,1.04,16.0,8530,8164,6824,16550,소진,사냥터
✦,101160,월덱스,추세매수,정배열,1.41,0,0,0,0,1.04,-7.0,28200,28597,24914,33450,소진,사냥터
✦,069540,빛과전자,추세매수,혼조,2.34,0,0,0,0,1.07,4.0,2560,2505,2048,7270,소진,사냥터
✦,094170,동운아나텍,추세매수,혼조,9.8,0,0,0,0,1.07,14.0,33750,30392,27812,44000,소진,사냥터
