순위,종목코드,종목명,시장,등락률(%),종가,거래대금,거래량,시가총액,상한가,구분
1,092600,앤씨앤,KOSDAQ,30.00,2730,1123185239,455368,13695599190,Y,저유동주의
2,208710,포톤,KOSDAQ,30.00,2340,1853466358,810814,30841508880,Y,저유동주의
3,299660,셀리드,KOSDAQ,29.99,1777,3198422060,1886546,52426790129,Y,저유동주의
4,002787,진흥기업2우B,KOSPI,29.98,3945,155475360,39942,1163017560,Y,저유동주의
5,199730,바이오인프라,KOSDAQ,29.98,2645,185440950,70110,12866250715,Y,저유동주의
6,247660,나노씨엠에스,KOSDAQ,29.97,3925,626045375,165547,17049886000,Y,저유동주의
7,002785,진흥기업우B,KOSPI,29.94,1862,294007996,160081,1596139916,Y,저유동주의
8,463020,뉴엔AI,KOSDAQ,29.93,9550,11450843180,1271298,84796360000,Y,실체급등
9,291810,핀텔,KOSDAQ,29.93,1042,1504830648,1551089,11846197904,Y,저유동주의
10,032685,소프트센우,KOSDAQ,29.92,15240,105606180,6930,1087556880,Y,저유동주의
11,368600,아이씨에이치,KOSDAQ,29.91,1342,3052790054,2387581,34617446930,Y,저유동주의
12,235980,메드팩토,KOSDAQ,29.85,3480,1870758230,564053,119277421080,Y,저유동주의
13,011155,CJ씨푸드1우,KOSPI,29.83,6920,118197260,17343,1384000000,Y,저유동주의
14,900100,파이온엑스,KOSDAQ,29.83,3525,2796533069,839131,18598076250,Y,저유동주의
15,199430,케이엔알시스템,KOSDAQ,23.34,17600,27054586180,1595193,197067956800,,실체급등
16,004415,서울식품우,KOSPI,20.58,5800,220607330,37336,1290210000,,저유동주의
17,377480,마음AI,KOSDAQ,19.60,11350,22515455195,2003299,80701621250,,실체급등
18,331920,셀레믹스,KOSDAQ,15.18,10700,1093367860,109600,119642638500,,저유동주의
