date,code,name,등급,국면,월,체인,밸류여부,성장군,카드%,ex_how
1998-12-16,002860,002860,정식A,실행,12,,False,,-9.4303574070694,손절
1998-12-16,015580,015580,정식A,실행,12,,False,,11.35714285714286,목표
1998-12-16,000110,000110,정식A,실행,12,,False,,-5.0,손절
1998-12-17,003810,003810,정식A,실행,12,,False,,11.84782608695653,목표
1998-12-17,000830,000830,정식A,실행,12,,False,,12.40000000000001,목표
1998-12-18,008810,008810,정식A,실행,12,,False,,1.2,트레일
1999-01-21,003480,한진중공업홀딩스,정식A,실행,1,비체인,False,,10.34482758620689,목표
1999-01-21,023130,023130,정식A,실행,1,,False,,-7.27902550307612,손절
1999-01-21,008670,008670,정식A,실행,1,,False,,-5.9747588842544195,손절
1999-01-21,029890,029890,정식A,실행,1,,False,,-6.16803278688524,손절
1999-01-21,011160,011160,S2-α,실행,1,,False,,-7.850000000000009,손절
1999-01-21,005770,005770,S2-α,실행,1,,False,,-6.15501519756839,손절
1999-01-21,018360,018360,S2-α,실행,1,,False,,-7.156505997474739,손절
1999-01-21,008810,008810,정식A,실행,1,,False,,-5.0,손절
1999-01-22,005770,005770,S2-α,실행,1,,False,,-7.52251638190767,손절
1999-01-22,018360,018360,정식A,실행,1,,False,,9.009009009009,목표
1999-01-22,011160,011160,S2-α,실행,1,,False,,-9.53271028037382,트레일
1999-01-22,007360,007360,정식A,실행,1,,False,,-5.0,손절
1999-01-25,008060,대덕,S2-α,실행,1,비체인,False,,-8.67027027027026,트레일
1999-01-25,005380,현대차,정식A,실행,1,비체인,False,,7.7027027027027,목표
1999-01-25,000830,000830,S2-α,실행,1,,False,,7.421875,목표
1999-01-26,008060,대덕,S2-α,실행,1,비체인,False,,9.011627906976729,목표
1999-02-09,007410,007410,정식A,실행,2,,False,,8.20754716981131,목표
1999-02-09,008600,윌비스,S2-α,실행,2,비체인,False,,13.664596273291929,목표
1999-02-24,000010,000010,S2-α,실행,2,,False,,-5.0,손절
1999-02-25,008600,윌비스,S2-α,실행,2,비체인,False,,9.4642857142857,목표
1999-03-18,024110,기업은행,정식A,실행,3,비체인,False,,-5.44289044289044,손절
1999-04-29,000030,000030,정식A,실행,4,,False,,11.44278606965174,목표
1999-05-12,007410,007410,정식A,실행,5,,False,,7.21757322175731,목표
1999-05-13,004460,004460,S2-α,실행,5,,False,,-5.00000000000001,손절
1999-05-14,000280,000280,S2-α,실행,5,,False,,-6.06621773288441,손절
1999-05-17,005440,현대지에프홀딩스,정식A,실행,5,비체인,False,,-5.0,손절
1999-05-17,004280,004280,정식A,실행,5,,False,,-7.7708333333333295,손절
1999-05-24,008810,008810,정식A,실행,5,,False,,-6.30707465277778,손절
1999-05-25,008810,008810,정식A,실행,5,,False,,13.59154929577464,목표
1999-05-28,008990,008990,S2-α,실행,5,,False,,-4.76712328767123,트레일
1999-06-15,011160,011160,S2-α,실행,6,,False,,7.015985790408511,목표
1999-07-21,007410,007410,정식A,실행,7,,False,,-4.9895178197064896,트레일
1999-07-21,000030,000030,정식A,실행,7,,False,,-9.8010752688172,손절
1999-07-26,010520,010520,정식A,실행,7,,False,,11.249999999999979,목표
1999-07-26,003620,KG모빌리티,S2-α,실행,7,비체인,False,,-5.0,손절
1999-07-26,006610,006610,S2-α,실행,7,,False,,13.23529411764705,목표
1999-07-26,009050,009050,정식A,실행,7,,False,,9.65909090909091,목표
1999-07-26,008980,008980,정식A,실행,7,,False,,13.485113835376538,목표
1999-07-26,000720,현대건설,정식A,실행,7,비체인,False,,7.3856975381008105,목표
1999-07-26,000010,000010,S2-α,실행,7,,False,,10.87719298245613,목표
1999-07-26,007360,007360,정식A,실행,7,,False,,-5.0,손절
1999-07-26,016420,016420,S2-α,실행,7,,False,,12.87878787878789,목표
1999-07-26,005770,005770,S2-α,실행,7,,False,,10.64516129032258,목표
1999-07-26,001200,유진투자증권,정식A,실행,7,비체인,False,,8.50515463917527,목표
1999-07-26,003530,한화투자증권,S2-α,실행,7,비체인,False,,12.53246753246752,목표
1999-07-26,008670,008670,정식A,실행,7,,False,,10.8416547788873,목표
1999-07-26,004020,현대제철,정식A,실행,7,비체인,False,,14.51127819548872,목표
1999-07-27,003620,KG모빌리티,S2-α,실행,7,비체인,False,,12.28448275862068,목표
1999-08-02,007360,007360,정식A,실행,8,,False,,7.79816513761468,목표
1999-08-02,016830,016830,정식A,실행,8,,False,,7.458563535911609,목표
1999-08-16,001200,유진투자증권,정식A,실행,8,비체인,False,,-5.0,손절
1999-08-17,008560,008560,S2-α,실행,8,,False,,-7.79411764705882,손절
1999-08-17,001200,유진투자증권,정식A,실행,8,비체인,False,,7.96019900497513,목표
1999-08-17,004710,한솔테크닉스,S2-α,실행,8,체인,False,,-6.2269992933554,손절
1999-08-17,016420,016420,S2-α,실행,8,,False,,-5.0,손절
1999-08-18,004710,한솔테크닉스,S2-α,실행,8,체인,False,,10.36036036036036,목표
1999-08-27,004390,004390,S2-α,실행,8,,False,,-5.0,손절
1999-08-27,016830,016830,정식A,실행,8,,False,,-4.26373626373626,트레일
1999-09-02,000720,현대건설,정식A,실행,9,비체인,False,,-5.28395061728396,트레일
1999-09-02,006800,미래에셋증권,정식A,실행,9,비체인,False,,6.9553805774278095,목표
1999-09-02,000280,000280,정식A,실행,9,,False,,7.73361976369495,목표
1999-09-02,028050,삼성E&A,S2-α,실행,9,비체인,False,,7.35294117647058,목표
1999-09-02,003450,003450,정식A,실행,9,,False,,12.837837837837828,목표
1999-09-02,016360,삼성증권,정식A,실행,9,비체인,False,,8.02005012531328,목표
1999-09-03,028050,삼성E&A,S2-α,실행,9,비체인,False,,7.65306122448978,목표
1999-09-16,003540,대신증권,S2-α,실행,9,비체인,False,,6.83229813664596,목표
1999-09-27,000120,CJ대한통운,정식A,실행,9,비체인,False,,8.4507042253521,목표
1999-09-30,001680,대상,정식A,실행,9,비체인,False,,-5.0,손절
1999-09-30,002550,002550,정식A,실행,9,,False,,-5.0,손절
1999-09-30,030210,다올투자증권,정식A,실행,9,비체인,False,,13.99999999999999,목표
1999-09-30,010130,고려아연,정식A,실행,9,비체인,False,,-6.21138649425287,손절
1999-10-01,000240,한국앤컴퍼니,정식A,실행,10,비체인,False,,7.16049382716048,목표
1999-10-01,002550,002550,정식A,실행,10,,False,,12.81818181818181,목표
1999-10-01,001120,LX인터내셔널,정식A,실행,10,비체인,False,,-8.57777777777778,트레일
1999-10-01,010130,고려아연,정식A,실행,10,비체인,False,,-5.66918238993711,손절
1999-10-01,025860,남해화학,정식A,실행,10,비체인,False,,-5.60706073960529,손절
1999-10-01,006360,GS건설,정식A,실행,10,비체인,False,,10.6951871657754,목표
1999-10-01,006120,SK디스커버리,S2-α,실행,10,비체인,False,,-9.65686274509803,손절
1999-10-04,001120,LX인터내셔널,정식A,실행,10,비체인,False,,-5.0,손절
1999-10-04,003480,한진중공업홀딩스,정식A,실행,10,비체인,False,,-8.37777777777778,손절
1999-10-04,000700,유수홀딩스,정식A,실행,10,비체인,False,,-9.665714567984,손절
1999-10-05,004020,현대제철,정식A,실행,10,비체인,False,,7.10937499999999,목표
1999-10-05,005440,현대지에프홀딩스,정식A,실행,10,비체인,False,,7.25190839694656,목표
1999-10-05,003490,대한항공,정식A,실행,10,비체인,False,,-5.0,손절
1999-10-05,005830,DB손해보험,정식A,실행,10,비체인,False,,7.9608938547486,목표
1999-10-05,001440,대한전선,S2-α,실행,10,비체인,False,,-7.15552491830066,손절
1999-10-05,000830,000830,정식A,실행,10,,False,,10.17241379310345,목표
1999-10-05,005810,풍산홀딩스,정식A,실행,10,비체인,False,,7.47126436781608,목표
1999-10-05,010140,삼성중공업,정식A,실행,10,비체인,False,,7.5068870523415905,목표
1999-10-14,000270,기아,정식A,실행,10,비체인,False,,-9.64174601467693,손절
