code,fiscal_year,op_income,depr,amort,cfo,capex,st_debt,lt_debt,bond,cash,EBITDA,net_debt,FCF
207940,2023,1113680009715.0,,,1666228521442.0,995070661693.0,758500000000.0,514718000000.0,1387905014266.0,890819570657.0,1113680009715.0,1770303443609.0,671157859749.0
207940,2024,1320052380133.0,,,1659255402663.0,1303573257829.0,684500000000.0,353682000000.0,1012756707992.0,391221617203.0,1320052380133.0,1659717090789.0,355682144834.0
207940,2025,2069221266630.0,,,2247807426551.0,1391740885639.0,130000000000.0,120000000000.0,599011716516.0,391221617203.0,2069221266630.0,457790099313.0,856066540912.0
032830,2023,2398377000000.0,,0.0,,32602000000.0,,,26692379000000.0,8862080000000.0,2398377000000.0,17830299000000.0,
032830,2024,2499751000000.0,,,,24855000000.0,,,20468340000000.0,5494179000000.0,2499751000000.0,14974161000000.0,
032830,2025,2580469000000.0,,,,36441000000.0,,,33292780000000.0,4537833000000.0,2580469000000.0,28754947000000.0,
105560,2023,9581728000000.0,865927000000.0,0.0,,350138000000.0,,,83777490000000.0,26534798000000.0,10447655000000.0,57242692000000.0,
105560,2024,10089547000000.0,916295000000.0,,,337178000000.0,,,86031647000000.0,25826588000000.0,11005842000000.0,60205059000000.0,
105560,2025,10880589000000.0,914686000000.0,,,333440000000.0,,,93229857000000.0,29020564000000.0,11795275000000.0,64209293000000.0,
028260,2020,857079813534.0,,,1267896575704.0,-284854637837.0,1419563122531.0,1018689682502.0,1018689682502.0,2704409055099.0,857079813534.0,752533432436.0,983041937867.0
028260,2021,1195982736408.0,,,1195731728299.0,-536970264533.0,1210341304533.0,1414543906947.0,1414543906947.0,2402466493357.0,1195982736408.0,1636962625070.0,658761463766.0
028260,2022,2528524413589.0,,,2618286420045.0,-1105651372002.0,2129418498315.0,2057970678374.0,2057970678374.0,4200424490443.0,2528524413589.0,2044935364620.0,1512635048043.0
028260,2023,2870173816853.0,,,2798653381137.0,1228735158067.0,1376714754735.0,1635327654170.0,1635327654170.0,4200424490443.0,2870173816853.0,446945572632.0,1569918223070.0
028260,2024,2983396694918.0,,,3306879187574.0,1628126163713.0,822061962764.0,1741990159918.0,1741990159918.0,3622371844804.0,2983396694918.0,683670437796.0,1678753023861.0
028260,2025,3292747495925.0,,,3023741373868.0,1736393846854.0,981336899188.0,1611322967337.0,1611322967337.0,3622371844804.0,3292747495925.0,581610989058.0,1287347527014.0
329180,2020,32509061000.0,,,,226249451000.0,,,,1314823009000.0,32509061000.0,,
329180,2021,-800262777000.0,,,,243969800000.0,,,,2137391421000.0,-800262777000.0,,
329180,2022,-289151153000.0,,,,-484478175000.0,,,,2137391421000.0,-289151153000.0,,
329180,2023,178639965000.0,,,168837181000.0,478211790000.0,,,,928043107000.0,178639965000.0,,-309374609000.0
329180,2024,705223483000.0,,,,463463027000.0,,,,1257867151000.0,705223483000.0,,
329180,2025,2037510103000.0,,,,511943688000.0,,,,1869917695000.0,2037510103000.0,,
000270,2020,2066457000000.0,,,5423896000000.0,1661898000000.0,4479452000000.0,2175728000000.0,2722994000000.0,10160697000000.0,2066457000000.0,-782523000000.0,3761998000000.0
000270,2021,5065685000000.0,,,7359670000000.0,1319523000000.0,3107772000000.0,1631282000000.0,3296975000000.0,11533710000000.0,5065685000000.0,-3497681000000.0,6040147000000.0
000270,2022,7233120000000.0,,,9333186000000.0,1494602000000.0,1659498000000.0,945174000000.0,3099207000000.0,11553972000000.0,7233120000000.0,-5850093000000.0,7838584000000.0
000270,2023,11607873000000.0,,,11296526000000.0,2335160000000.0,128765000000.0,200000000000.0,2502261000000.0,14353142000000.0,11607873000000.0,-11522116000000.0,8961366000000.0
000270,2024,12667139000000.0,,,12564368000000.0,3485121000000.0,220859000000.0,0.0,2175573000000.0,14353142000000.0,12667139000000.0,-11956710000000.0,9079247000000.0
000270,2025,9078148000000.0,,,9054140000000.0,3764508000000.0,211292000000.0,0.0,978970000000.0,13998106000000.0,9078148000000.0,-12807844000000.0,5289632000000.0
012450,2020,243947058546.0,,,434749594569.0,189391880011.0,1833751118380.0,1647896217836.0,205652328500.0,1330706432193.0,243947058546.0,2356593232523.0,245357714558.0
012450,2021,383046885903.0,,,990006043035.0,166102879971.0,1503028743609.0,1848716999666.0,1848716999666.0,2528070087946.0,383046885903.0,2672392654995.0,823903163064.0
012450,2022,377215126599.0,,,1524327091276.0,196739344483.0,1752235922106.0,1712424845617.0,1712424845617.0,3043178646369.0,377215126599.0,2133906966971.0,1327587746793.0
012450,2023,976918345793.0,,,1390220003982.0,453364797879.0,2596755842734.0,338780957812.0,2538079878982.0,3069829737554.0,976918345793.0,2403786941974.0,936855206103.0
012450,2024,2511266560208.0,,,1392972633695.0,578204897971.0,8462532799585.0,513246733600.0,6117727028303.0,2967733422929.0,2511266560208.0,12125773138559.0,814767735724.0
012450,2025,3089320181000.0,,,4049804576000.0,1710503200000.0,8486521229000.0,1588098648000.0,6982167457000.0,7713355500000.0,3089320181000.0,9343431834000.0,2339301376000.0
055550,2023,6100850000000.0,1185006000000.0,,,261444000000.0,,,81561725000000.0,30416884000000.0,7285856000000.0,51144841000000.0,
055550,2024,6458670000000.0,1280382000000.0,,,263836000000.0,,,93765854000000.0,35247543000000.0,7739052000000.0,58518311000000.0,
055550,2025,7023357000000.0,1295085000000.0,,,258659000000.0,,,92991422000000.0,35295123000000.0,8318442000000.0,57696299000000.0,
034020,2020,-622554709114.0,,,295223700800.0,262954987025.0,5368579020551.0,1183035254754.0,1800160199498.0,2336795020568.0,-622554709114.0,6014979454235.0,32268713775.0
034020,2021,877882794101.0,,,1027716202327.0,284708398491.0,3908482953731.0,1516918542299.0,848257259234.0,2336795020568.0,877882794101.0,3936863734696.0,743007803836.0
034020,2022,1106120868237.0,,,625077721382.0,348704095585.0,-2368288469195.0,2566375645776.0,398972247300.0,1908603989132.0,1106120868237.0,-1311544565251.0,276373625797.0
034020,2023,1467318338124.0,,,2070633291076.0,395596062651.0,1186577312455.0,1457749360531.0,509198261250.0,2620186984799.0,1467318338124.0,533337949437.0,1675037228425.0
034020,2024,1017600000000.0,,,242204000000.0,461497000000.0,2141257000000.0,2434534000000.0,906758000000.0,2898298000000.0,1017600000000.0,2584251000000.0,-219293000000.0
034020,2025,762712000000.0,,,751801000000.0,403095000000.0,1883572000000.0,2336139000000.0,499127000000.0,3080997000000.0,762712000000.0,1637841000000.0,348706000000.0
034730,2020,-164471000000.0,,,9694611000000.0,9238751000000.0,6201430000000.0,36843510000000.0,36843510000000.0,10096940000000.0,-164471000000.0,69791510000000.0,455860000000.0
034730,2021,4935539000000.0,,,6125170000000.0,8749665000000.0,7657381000000.0,42620141000000.0,42620141000000.0,12317555000000.0,4935539000000.0,80580108000000.0,-2624495000000.0
034730,2022,8004710000000.0,,,7677749000000.0,14000065000000.0,17457297000000.0,45641745000000.0,45641745000000.0,21393853000000.0,8004710000000.0,87346934000000.0,-6322316000000.0
034730,2023,5056378000000.0,,,11353882000000.0,18915215000000.0,17388374000000.0,48570229000000.0,48570229000000.0,22683670000000.0,5056378000000.0,91845162000000.0,-7561333000000.0
034730,2024,2355290000000.0,,,8110330000000.0,15673489000000.0,20002596000000.0,48073129000000.0,48073129000000.0,24647042000000.0,2355290000000.0,91501812000000.0,-7563159000000.0
034730,2025,1818476000000.0,,,6098798000000.0,9586382000000.0,11714166000000.0,45546013000000.0,45546013000000.0,25214132000000.0,1818476000000.0,77592060000000.0,-3487584000000.0
012330,2020,1830292000000.0,,,2476737000000.0,1095909000000.0,3993029000000.0,1135522000000.0,,4202436000000.0,1830292000000.0,926115000000.0,1380828000000.0
012330,2021,2040112000000.0,,,2608809000000.0,921842000000.0,5156043000000.0,1587545000000.0,1587545000000.0,4202436000000.0,2040112000000.0,4128697000000.0,1686967000000.0
012330,2022,2026531000000.0,,,2154062000000.0,1134395000000.0,6413413000000.0,1462049000000.0,1462049000000.0,4155989000000.0,2026531000000.0,5181522000000.0,1019667000000.0
012330,2023,2295284000000.0,,,5342631000000.0,1801887000000.0,4929952000000.0,692062000000.0,692062000000.0,5079414000000.0,2295284000000.0,1234662000000.0,3540744000000.0
012330,2024,3073456000000.0,,,4252694000000.0,2204080000000.0,1575691000000.0,1362920000000.0,1927485000000.0,5079414000000.0,3073456000000.0,-213318000000.0,2048614000000.0
012330,2025,3357456000000.0,,,4472515000000.0,1347770000000.0,664404000000.0,437672000000.0,1818510000000.0,4922378000000.0,3357456000000.0,-2001792000000.0,3124745000000.0
068270,2020,718577359816.0,,,350746671970.0,-87008156984.0,,,,684293887404.0,718577359816.0,,263738514986.0
068270,2021,756857107226.0,,,911159432327.0,-63379331965.0,,,,1188325852061.0,756857107226.0,,847780100362.0
068270,2022,647198174586.0,,,863531984.0,-111168804221.0,,,,1188325852061.0,647198174586.0,,-110305272237.0
068270,2023,651481422157.0,,,537158606192.0,210046189698.0,,,,564611719562.0,651481422157.0,,327112416494.0
068270,2024,492015534847.0,,,901870301325.0,135058628780.0,,,,996430679072.0,492015534847.0,,766811672545.0
068270,2025,1168471345595.0,,,646050776661.0,108223875636.0,,,,1119206211717.0,1168471345595.0,,537826901025.0
086790,2023,12234617000000.0,1219747000000.0,,-9622341000000.0,2177689000000.0,,,58702329000000.0,39728616000000.0,13454364000000.0,18973713000000.0,-11800030000000.0
086790,2024,12449309000000.0,1480620000000.0,,-2451814000000.0,2000280000000.0,,,64879611000000.0,32766660000000.0,13929929000000.0,32112951000000.0,-4452094000000.0
086790,2025,13341546000000.0,1645594000000.0,,-1962471000000.0,1648700000000.0,,,72812888000000.0,36565097000000.0,14987140000000.0,36247791000000.0,-3611171000000.0
006400,2020,671335358424.0,,,1948820240507.0,1728269788047.0,2427504179850.0,1484319604943.0,100000000000.0,1545974321801.0,671335358424.0,2465849462992.0,220550452460.0
006400,2021,1067575600497.0,,,2176027358565.0,2254718265711.0,2510216802997.0,2107760803273.0,370000000000.0,2325692348376.0,1067575600497.0,2662285257894.0,-78690907146.0
006400,2022,1808013013202.0,,,2641096163726.0,2808898170363.0,2851183213651.0,2297040000000.0,,2614271849898.0,1808013013202.0,2533951363753.0,-167802006637.0
006400,2023,1633368964768.0,,,2103521513959.0,4048246715878.0,4049049428878.0,2849524920000.0,220000000000.0,2614271849898.0,1633368964768.0,4504302498980.0,-1944725201919.0
006400,2024,363304463263.0,,,-137613377776.0,6271319040013.0,6523146517718.0,5063743785691.0,0.0,2138348001000.0,363304463263.0,9448542302409.0,-6408932417789.0
006400,2025,289964965354.0,,,792385760879.0,3066850926743.0,10926413532982.0,5493341323030.0,0.0,2138348001000.0,289964965354.0,14281406855012.0,-2274465165864.0
035420,2020,1215342457273.0,,,1447212217640.0,759403180962.0,2116540667363.0,886562480808.0,789055599548.0,3845667763547.0,1215342457273.0,-53509015828.0,687809036678.0
