last,to50,to20,dd20,ddhi,near_low,bw_rank,volr,a200,up200,cat,sub,prep,near_high,breakout,vsurge,vstrong,flags,code,name
14540,5.797776354851858,1.8778026905829526,-4.905166775670377,-4.905166775670377,19.670781893004108,63,0.8288875412816197,True,True,🟢 추세위,MA50 위 추세유지,눌림,True,False,False,False,🆕신고가,003690,코리안리
44150,-3.8545296167247334,-4.125950054288818,-9.342915811088293,-37.99157303370787,6.771463119709797,26,0.6676834214881396,False,False,⚪ 기타,신호 없음,,False,False,False,False,,004000,롯데정밀화학
27000,-5.063291139240511,-1.6930638995084624,-9.6989966555184,-41.93548387096774,14.164904862579286,38,0.8096536256811765,False,False,⚪ 기타,신호 없음,,False,False,False,False,,004020,현대제철
400500,-30.204593775051414,-6.806282722513091,-22.533849129593808,-48.38917525773196,3.2216494845360932,66,0.6082522938843768,True,True,⚪ 기타,신호 없음,,False,False,False,False,,004170,신세계
432500,16.70264436049649,9.141379092801728,-1.9274376417233507,-17.1455938697318,35.57993730407523,85,0.6576386914791789,True,False,🟢 추세위,MA50 위 추세유지,,False,False,False,False,,004370,농심
155900,-3.831918673509671,1.5040041669379445,-8.131997642899236,-43.51449275362319,33.24786324786324,57,0.9239492383925899,False,True,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,004800,효성
22800,-3.9636072616991647,-1.2024699382515491,-6.172839506172845,-40.932642487046635,7.801418439716312,18,0.762516306690258,False,False,🟣 상승준비,바닥,바닥,False,False,False,False,,004990,롯데지주
37500,-2.070874572376147,3.9356984478935653,-11.137440758293838,-42.74809160305344,40.97744360902256,66,0.6864208594365812,False,False,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,005070,코스모신소재
41100,-13.504640444472503,1.2128301422151155,-5.408515535097813,-37.727272727272734,27.639751552795033,42,0.8903837484213409,False,False,🟡 초기반등,MA20 회복(MA50 대기),,False,False,False,False,,005290,동진쎄미켐
415000,-10.169271397030178,3.54937308963883,-8.388520971302427,-44.666666666666664,22.599704579025115,29,0.5315904723077951,False,True,🔵 주도주,규칙 유니버스,,False,False,False,False,,005380,현대차
