ym,code,pbr,div,ep,bp,roe,g1,fwd_ret
2006-01,000050,0.86,0.0,,1.1627906976744187,0.0,,
2006-01,000060,1.8,1.81,0.049164208456243856,0.5555555555555556,0.08872675157161004,,
2006-01,000070,0.7,2.05,0.10810810810810811,1.4285714285714286,0.07585630117835031,,
2006-01,000100,2.67,0.58,0.040749796251018745,0.37453183520599254,0.10870434140942073,,
2006-01,000120,1.09,0.0,0.050226017076845805,0.9174311926605504,0.054739974493410795,,
2006-01,000140,2.53,0.89,0.04878048780487805,0.3952569169960475,0.12354871794871795,,
2006-01,000150,0.92,0.0,,1.0869565217391304,0.0,,
2006-01,000210,1.61,3.06,0.1557632398753894,0.6211180124223602,0.25144817842365524,,
2006-01,000240,1.56,1.96,0.08912655971479501,0.641025641025641,0.13924981613140475,,
2006-01,000270,1.98,1.56,0.0876424189307625,0.5050505050505051,0.17353044702569517,,
2006-01,000360,0.51,3.39,0.16129032258064516,1.9607843137254901,0.08267021615208774,,-0.028236156949028257
2006-01,000640,2.55,0.79,0.041666666666666664,0.3921568627450981,0.1062145005011694,,
2006-01,000660,3.72,0.0,0.09940357852882703,0.26881720430107525,0.3694438907713773,,
2006-01,000670,0.49,0.62,0.17699115044247787,2.0408163265306123,0.08739394757344686,,
2006-01,000700,0.92,4.5,0.45248868778280543,1.0869565217391304,0.4184527029838945,,
2006-01,000720,5.54,0.0,0.06644518272425248,0.18050541516245489,0.36816037735849055,,
2006-01,000810,2.22,1.18,0.04812319538017324,0.4504504504504504,0.10698968963887479,,
2006-01,000815,,2.05,,,,,
2006-01,000830,0.87,1.01,0.019837333862328905,1.1494252873563218,0.01734697489998938,,0.020242914979757165
2006-01,000880,2.03,1.07,0.11013215859030837,0.4926108374384237,0.22377795675608697,,
2006-01,001040,2.21,1.32,0.04382120946538125,0.45248868778280543,0.0969077271440702,,
2006-01,001045,,2.54,,,,,
2006-01,001060,1.24,2.09,0.0706713780918728,0.8064516129032259,0.08730713996391354,,
2006-01,001120,2.28,2.2,0.05268703898840885,0.4385964912280702,0.12030982798511217,,
2006-01,001130,0.54,1.61,0.19193857965451055,1.8518518518518516,0.10406688147696595,,
2006-01,001200,1.26,1.87,0.0353356890459364,0.7936507936507936,0.04465037910699242,,
2006-01,001210,3.23,0.5,0.037509377344336084,0.30959752321981426,0.120990982615971,,
2006-01,001230,0.78,3.89,0.4273504273504274,1.282051282051282,0.333212238637281,,
2006-01,001290,,0.0,,,,,
2006-01,001300,1.69,1.9,0.056689342403628114,0.591715976331361,0.09571999802537394,,0.10087719298245612
2006-01,001430,1.0,3.08,0.08250825082508251,1.0,0.08231538886501749,,
2006-01,001440,1.21,2.36,0.05509641873278237,0.8264462809917356,0.06657167284126532,,
2006-01,001450,2.22,1.89,0.06464124111182934,0.4504504504504504,0.14316884860691506,,
2006-01,001510,2.01,0.0,0.019443904335990667,0.49751243781094534,0.03910614525139665,,
2006-01,001520,2.31,0.0,,0.4329004329004329,0.0,,
2006-01,001630,3.48,0.91,0.04020908725371934,0.28735632183908044,0.13989473684210527,,
2006-01,001680,1.18,0.68,0.02246686137946529,0.8474576271186441,0.026402640264026403,,
2006-01,001720,0.75,3.13,0.10341261633919338,1.3333333333333333,0.07733308397232093,,
2006-01,001740,5.52,0.0,0.12853470437017994,0.1811594202898551,0.7088703563305534,,
2006-01,001800,3.98,0.58,0.015605493133583021,0.25125628140703515,0.06218652881627127,,
2006-01,001940,0.56,2.42,0.38910505836575876,1.7857142857142856,0.21663318025258324,,
2006-01,002000,0.72,2.02,0.05305039787798408,1.3888888888888888,0.03837113965564362,,
2006-01,002030,0.29,3.72,0.06939625260235947,3.4482758620689657,0.020175280412594223,,
2006-01,002240,0.48,1.34,0.14903129657228018,2.0833333333333335,0.07171336701883325,,
2006-01,002270,1.4,0.35,0.08025682182985554,0.7142857142857143,0.11217530580348493,,
2006-01,002300,0.63,2.94,0.15873015873015872,1.5873015873015872,0.10068084312628241,,
2006-01,002320,0.75,1.77,0.04716981132075472,1.3333333333333333,0.0351814622791239,,
2006-01,002350,0.9,2.16,0.1589825119236884,1.1111111111111112,0.14307359307359307,,
2006-01,002380,1.17,2.36,0.06770480704129993,0.8547008547008548,0.07901549399173138,,
2006-01,002550,2.28,1.55,0.05157297576070139,0.4385964912280702,0.1175391562014957,,-0.07739938080495357
2006-01,002790,3.57,0.7,0.05175983436853002,0.2801120448179272,0.18477129895534192,,
2006-01,002795,,1.29,,,,,
2006-01,002990,1.4,1.49,0.14598540145985403,0.7142857142857143,0.20404521118381916,,
2006-01,003000,4.42,0.57,0.0333000333000333,0.22624434389140272,0.14708835341365462,,
2006-01,003070,1.73,0.0,,0.5780346820809249,0.0,,
2006-01,003240,0.43,0.26,0.11655011655011654,2.3255813953488373,0.04956570027423451,,
2006-01,003300,0.67,1.99,0.1972386587771203,1.4925373134328357,0.13230338581132883,,
2006-01,003410,0.28,0.0,0.13986013986013984,3.571428571428571,0.03894698882077173,,
2006-01,003450,1.8,0.0,0.024685262898049867,0.5555555555555556,0.04434714269675536,,-0.024978580373031023
2006-01,003470,1.85,0.0,0.11086474501108648,0.5405405405405405,0.20458522926146308,,
2006-01,003480,1.21,1.27,0.02887669650591972,0.8264462809917356,0.034850348503485035,,
2006-01,003490,0.52,0.84,0.24330900243309,1.923076923076923,0.12770589371302166,,
2006-01,003520,7.18,0.0,0.011749500646222535,0.1392757660167131,0.0843806104129264,,
2006-01,003530,1.4,0.8,0.014501160092807426,0.7142857142857143,0.020246968517076427,,
2006-01,003540,1.28,2.03,0.022558087074216106,0.78125,0.028952301603832536,,
2006-01,003545,,3.24,,,,,
2006-01,003550,1.77,0.72,0.08583690987124463,0.5649717514124294,0.15199715418233561,,
2006-01,003560,14.79,0.0,,0.0676132521974307,0.0,,
2006-01,003570,0.87,2.04,0.1322751322751323,1.1494252873563218,0.11497515968772179,,
2006-01,003600,1.15,3.03,0.2178649237472767,0.8695652173913044,0.25023671040173134,,0.008405145497689448
2006-01,003620,0.77,0.0,0.012081672103419113,1.2987012987012987,0.009305088101366066,,
2006-01,003640,0.39,3.51,0.3076923076923077,2.564102564102564,0.12081257397671281,,-0.0035087719298245723
2006-01,003690,2.09,2.24,0.05353319057815846,0.47846889952153115,0.11196670135275755,,
2006-01,003920,1.1,0.16,0.10121457489878542,0.9090909090909091,0.11122767282075424,,
2006-01,003940,0.74,2.03,0.12547051442910917,1.3513513513513513,0.09345733961267795,,0.040520472385262796
2006-01,004000,1.27,1.85,0.05678591709256105,0.7874015748031495,0.07209293198854048,,
2006-01,004010,7.27,0.0,0.013022528975126969,0.13755158184319122,0.09472259810554803,,-0.3085271317829458
2006-01,004020,0.86,1.45,0.21052631578947367,1.1627906976744187,0.1813991408234298,,
2006-01,004130,0.97,3.03,0.08097165991902834,1.0309278350515465,0.07876337292561705,,
2006-01,004150,0.88,2.65,0.08203445447087777,1.1363636363636365,0.07247733255337818,,
2006-01,004170,4.86,0.2,0.04401408450704226,0.20576131687242796,0.2136682976981513,,
2006-01,004200,1.72,1.88,0.07993605115907275,0.5813953488372093,0.13744559669012948,,
2006-01,004230,8.99,0.0,,0.11123470522803114,0.0,,-0.0617067242776127
2006-01,004370,2.21,1.35,0.0764525993883792,0.45248868778280543,0.16909710290008814,,
2006-01,004550,0.8,0.96,0.05091649694501018,1.25,0.0407323358590715,,0.026435326532131986
2006-01,004690,1.0,1.01,0.09487666034155598,1.0,0.0947350554459927,,
2006-01,004790,4.04,0.0,0.11876484560570072,0.24752475247524752,0.47947112038970074,,-0.0844819770330647
2006-01,004800,0.3,2.61,0.11890606420927467,3.3333333333333335,0.03563114554740975,,
2006-01,004940,3.26,0.0,0.052910052910052914,0.3067484662576687,0.17239101717305153,,-0.05405405405405406
2006-01,004980,0.6,8.17,0.15174506828528073,1.6666666666666667,0.09075991404571206,,
2006-01,004990,1.96,0.16,0.03221649484536083,0.5102040816326531,0.06301941917146986,,
2006-01,005180,2.29,1.78,0.07974481658692185,0.4366812227074236,0.18292448292448293,,
2006-01,005250,1.57,2.26,0.01966955153422502,0.6369426751592356,0.030798935694271116,,
2006-01,005270,2.11,1.82,0.0617283950617284,0.47393364928909953,0.13016845329249618,,0.0033003300330032292
2006-01,005280,1.76,2.44,0.07358351729212656,0.5681818181818182,0.12941512941512942,,0.052843095339888846
2006-01,005300,1.69,0.19,0.09025270758122744,0.591715976331361,0.15242060773320726,,
2006-01,005380,1.84,1.32,0.09099181073703366,0.5434782608695652,0.16728836062464436,,
2006-01,005385,,2.18,,,,,
2006-01,005387,,2.29,,,,,
2006-01,005440,1.58,0.54,0.060753341433778855,0.6329113924050632,0.09587600094459114,,
2006-01,005490,1.1,3.63,0.2145922746781116,0.9090909090909091,0.23637145013067618,,
2006-01,005620,0.54,1.13,0.0970873786407767,1.8518518518518516,0.052181645480083264,,-0.041359044995408656
2006-01,005680,0.61,1.34,0.0645577792123951,1.639344262295082,0.03964902659720318,,
2006-01,005740,1.84,0.63,0.056882821387940846,0.5434782608695652,0.1048266691550413,,
2006-01,005810,0.68,2.86,0.15267175572519084,1.4705882352941175,0.10442708333333334,,
2006-01,005830,2.2,1.97,0.09000900090009001,0.45454545454545453,0.198371335504886,,
2006-01,005880,0.64,4.72,1.0101010101010102,1.5625,0.6469225678358703,,
2006-01,005930,3.31,1.35,0.09174311926605504,0.3021148036253776,0.30333178463572846,,
2006-01,005935,,1.78,,,,,
2006-01,005940,1.88,1.12,0.01351168760978246,0.5319148936170213,0.025390953421893393,,
2006-01,005945,,1.9,,,,,
2006-01,005960,0.87,4.01,0.14792899408284024,1.1494252873563218,0.12926957435627956,,
2006-01,005990,1.79,0.0,0.07757951900698215,0.5586592178770949,0.13865104401382003,,
2006-01,006120,1.02,0.8,0.020959966464053657,0.9803921568627451,0.021353763397041443,,
2006-01,006200,0.51,1.98,0.07230657989877079,1.9607843137254901,0.03677652733118971,,
2006-01,006260,0.88,2.99,0.12285012285012284,1.1363636363636365,0.10775275013095861,,
2006-01,006280,4.94,0.0,0.025113008538422903,0.20242914979757085,0.12409464027040078,,
2006-01,006350,1.37,1.79,0.12376237623762376,0.7299270072992701,0.16894753991528186,,0.013008373205741552
2006-01,006360,1.87,2.56,0.06578947368421052,0.53475935828877,0.12331029185867895,,
2006-01,006370,0.69,1.22,0.0580046403712297,1.4492753623188408,0.039813822662737745,,
2006-01,006390,0.38,4.45,0.19193857965451055,2.6315789473684212,0.07326746136064904,,
2006-01,006400,0.98,3.1,0.1724137931034483,1.0204081632653061,0.16890769916163784,,
2006-01,006800,2.76,0.0,,0.3623188405797102,0.0,,
2006-01,007190,0.57,0.0,0.08695652173913043,1.7543859649122808,0.04967375289412755,,-0.0786243772025762
2006-01,007310,1.69,0.92,0.07535795026375283,0.591715976331361,0.1277300212961092,,
2006-01,007570,3.31,0.52,0.007048209754722301,0.3021148036253776,0.02329980225260081,,
2006-01,008060,1.16,3.68,0.07570022710068129,0.8620689655172414,0.08741641337386018,,
2006-01,008560,1.21,0.0,,0.8264462809917356,0.0,,
2006-01,008730,1.18,4.57,0.09813542688910697,0.8474576271186441,0.1160453808752026,,
2006-01,008770,1.06,1.66,0.029958058717795083,0.9433962264150942,0.03181177299964751,,
2006-01,008930,5.41,0.43,0.03374957813027337,0.18484288354898337,0.18273873704936477,,
2006-01,009150,1.8,1.3,0.0322061191626409,0.5555555555555556,0.0580002817827455,,
2006-01,009180,3.48,0.84,0.036845983787767135,0.28735632183908044,0.1282991202346041,,
2006-01,009200,0.73,4.85,0.18083182640144665,1.36986301369863,0.13232473897293842,,
2006-01,009410,1.05,1.44,0.0881057268722467,0.9523809523809523,0.09244687438643126,,
2006-01,009540,1.25,1.79,0.008128759551292473,0.8,0.01013573693398411,,
2006-01,009720,0.37,6.25,0.1053740779768177,2.7027027027027026,0.03877100623002828,,0.02187500000000009
2006-01,009830,1.16,1.89,0.1893939393939394,0.8620689655172414,0.22073627746344332,,
2006-01,009970,0.71,2.86,0.2079002079002079,1.4084507042253522,0.14657383657017223,,
2006-01,010060,0.75,2.48,0.09803921568627452,1.3333333333333333,0.07326713107059928,,
2006-01,010120,4.08,1.69,0.09541984732824427,0.24509803921568626,0.3892728780757534,,
2006-01,010130,1.27,1.29,0.11148272017837234,0.7874015748031495,0.14160354500010913,,
2006-01,010140,1.5,0.97,0.014838996883810655,0.6666666666666666,0.022250169294766375,,
2006-01,010520,1.1,1.53,0.0796812749003984,0.9090909090909091,0.08737864077669903,,-0.02285714285714291
2006-01,010620,2.76,1.94,0.08438818565400844,0.3623188405797102,0.23329607016940407,,
2006-01,010770,1.21,1.41,0.08058017727639001,0.8264462809917356,0.09713024282560706,,
2006-01,010820,3.45,0.0,,0.2898550724637681,0.0,,
2006-01,010950,2.35,6.92,0.16233766233766234,0.425531914893617,0.38168304962838645,,
2006-01,010955,,7.19,,,,,
2006-01,011000,18.5,0.0,,0.05405405405405406,0.0,,
2006-01,011040,2.3,0.0,0.07535795026375283,0.4347826086956522,0.17329572167371884,,
2006-01,011160,1.15,0.0,0.03735524841240194,0.8695652173913044,0.04304678437943034,,
2006-01,011170,1.12,1.77,0.2801120448179272,0.8928571428571428,0.31210682492581604,,
2006-01,011200,1.86,0.0,0.28901734104046245,0.5376344086021505,0.5360849920625229,,
2006-01,011760,0.71,0.0,0.1652892561983471,1.4084507042253522,0.11762865634287502,,
2006-01,011780,0.74,2.08,0.2949852507374631,1.3513513513513513,0.21824896137867364,,
2006-01,011790,1.16,0.0,0.11299435028248588,0.8620689655172414,0.13092831596952262,,
2006-01,011810,2.11,2.08,0.05359056806002144,0.47393364928909953,0.11330396475770925,,
2006-01,012330,3.07,1.8,0.09784735812133072,0.32573289902280134,0.29995959892753515,,
2006-01,012450,2.73,0.65,0.014652014652014652,0.3663003663003663,0.03993837402228016,,
2006-01,012630,1.92,1.58,0.07326007326007326,0.5208333333333334,0.1406550085919337,,
2006-01,012650,1.46,0.0,0.12121212121212122,0.684931506849315,0.17664851784633998,,-0.07958476072410914
2006-01,012750,4.18,1.51,0.040096230954290296,0.23923444976076558,0.1674701320477887,,
2006-01,012990,1.4,8.03,0.2114164904862579,0.7142857142857143,0.2965752542809321,,0.0183486238532109
2006-01,013240,16.41,0.0,,0.06093845216331505,0.0,,-0.1685393258426966
2006-01,013580,1.22,2.3,0.13550135501355015,0.819672131147541,0.16540570833833715,,
2006-01,014790,1.22,1.61,0.10427528675703858,0.819672131147541,0.12702279450147902,,
2006-01,014820,11.84,0.0,,0.08445945945945946,0.0,,
2006-01,015350,1.03,4.46,0.08984725965858041,0.970873786407767,0.09283770695936909,,
2006-01,015750,2.81,0.0,0.08210180623973727,0.35587188612099646,0.23108192620387744,,
2006-01,015760,0.65,2.77,0.11025358324145534,1.5384615384615383,0.07151120978080736,,
2006-01,015940,1.01,0.0,0.05473453749315818,0.9900990099009901,0.05529866345727497,,-0.16927899686520376
2006-01,016360,2.1,0.76,0.008996041741633681,0.47619047619047616,0.018865676384144887,,
2006-01,016380,0.44,4.9,0.4484304932735426,2.272727272727273,0.1995298010361792,,
2006-01,016420,4.19,0.0,0.035423308537017355,0.2386634844868735,0.14857744994731295,,0.04258685930512551
2006-01,016800,2.07,1.11,0.06983240223463687,0.48309178743961356,0.14421237854793054,,
2006-01,016880,2.2,1.25,0.0286697247706422,0.45454545454545453,0.06318883174136664,,
2006-01,016990,1.4,0.0,0.136986301369863,0.7142857142857143,0.191237643691014,,-0.08974358974358976
2006-01,017390,1.15,1.6,0.12033694344163658,0.8695652173913044,0.13865437788018434,,
2006-01,017670,1.98,5.36,0.10582010582010583,0.5050505050505051,0.20974622225435616,,
2006-01,017800,1.94,1.07,0.18248175182481752,0.5154639175257733,0.3541701302299806,,
2006-01,017810,1.68,1.09,0.05053057099545225,0.5952380952380952,0.08479286262751837,,
2006-01,017940,0.63,3.86,0.19920318725099603,1.5873015873015872,0.12652541126884811,,
2006-01,018670,0.79,4.2,0.12738853503184713,1.2658227848101264,0.1011957681365576,,
2006-01,018880,1.98,3.34,0.10570824524312895,0.5050505050505051,0.2096995876693501,,
2006-01,019680,1.93,1.92,0.08136696501220506,0.5181347150259068,0.15723984693247747,,
2006-01,020000,1.49,0.87,0.0929368029739777,0.6711409395973155,0.1380944176430048,,
2006-01,020560,1.41,0.0,0.22271714922048996,0.7092198581560284,0.3134358155320423,,
2006-01,021240,23.87,0.93,0.006889899407468651,0.04189359028068705,0.16444444444444445,,
2006-01,022100,4.75,0.0,0.02107037505267594,0.21052631578947367,0.10012563500300431,,
2006-01,023160,2.44,0.0,0.07434944237918216,0.4098360655737705,0.18145341061078912,,
2006-01,023410,3.34,0.0,0.05128205128205128,0.29940119760479045,0.17139824887237995,,
2006-01,023590,1.24,0.0,0.009007386056566384,0.8064516129032259,0.011212814645308924,,
2006-01,024110,1.99,1.46,0.04775549188156638,0.5025125628140703,0.09509986065954482,,
2006-01,024660,4.09,0.0,0.07220216606498195,0.24449877750611249,0.2954279015240328,,
2006-01,025000,1.18,2.96,0.1172332942555686,0.8474576271186441,0.1381977604646617,,
2006-01,025460,23.47,0.0,,0.0426075841499787,0.0,,0.02042760059012072
2006-01,026870,0.72,5.34,0.0791765637371338,1.3888888888888888,0.05686563497912061,,-0.010683760683760646
2006-01,026960,2.23,0.0,0.06752194463200539,0.4484304932735426,0.15040079332286588,,
2006-01,027970,2.36,0.47,0.007551159102922298,0.42372881355932207,0.017809124972448756,,
2006-01,028050,3.95,0.87,0.03316749585406302,0.2531645569620253,0.13096712064933277,,
2006-01,028080,2.08,0.0,0.007170514842965724,0.4807692307692307,0.014913341394598953,,
2006-01,028150,2.79,0.0,0.07575757575757576,0.35842293906810035,0.21118812646551058,,
2006-01,029530,0.9,4.71,0.10224948875255624,1.1111111111111112,0.09175724127574102,,
2006-01,030000,2.84,1.83,0.04570383912248629,0.35211267605633806,0.12994703210609196,,
2006-01,030200,1.09,7.8,0.15503875968992248,0.9174311926605504,0.16860070191327975,,
2006-01,030210,1.05,0.0,,0.9523809523809523,0.0,,
2006-01,030610,1.58,1.04,0.03949447077409163,0.6329113924050632,0.06226291693917593,,
2006-01,032390,1.34,2.34,0.06561679790026247,0.7462686567164178,0.08800911421247508,,0.10403397027600847
2006-01,032640,2.09,0.0,0.011021712774165105,0.47846889952153115,0.02307908809456797,,
2006-01,032710,,0.0,,,,,-0.0912476722532588
2006-01,033030,1.49,0.0,,0.6711409395973155,0.0,,0.09305760709010347
2006-01,033630,0.68,0.0,0.008778860503906593,1.4705882352941175,0.005986465382613222,,-0.06499102333931772
2006-01,033640,6.26,0.0,0.05837711617046118,0.1597444089456869,0.3655913978494624,,
2006-01,033780,2.15,3.43,0.0681663258350375,0.46511627906976744,0.14684443624284924,,
2006-01,034020,1.63,0.72,0.05530973451327434,0.6134969325153374,0.09011030099083941,,
2006-01,034120,2.64,1.36,0.025252525252525252,0.3787878787878788,0.0666858706610975,,
2006-01,034220,2.48,0.0,0.12330456226880396,0.40322580645161293,0.3054381515919977,,
2006-01,034230,1.12,0.0,0.1364256480218281,0.8928571428571428,0.15293018911977585,,
2006-01,034660,7.57,0.0,0.01315270288044193,0.1321003963011889,0.09959072305593451,,-0.018671383647798745
2006-01,034830,1.11,0.0,0.04201680672268907,0.9009009009009008,0.046468401486988845,,
2006-01,035080,17.33,0.0,,0.05770340450086556,0.0,,
2006-01,035250,4.06,2.22,0.06269592476489029,0.24630541871921185,0.2542948461845785,,
2006-01,035420,18.03,0.0,0.01246416552411816,0.05546311702717693,0.22471552984552795,,
2006-01,035720,5.65,0.0,,0.17699115044247787,0.0,,
2006-01,035760,5.05,0.0,0.041736227045075125,0.19801980198019803,0.21065661604404537,,
2006-01,036030,2.18,0.0,,0.4587155963302752,0.0,,
2006-01,036460,0.66,6.7,0.15337423312883436,1.5151515151515151,0.10059756579814579,,
2006-01,036530,1.78,0.95,0.08291873963515754,0.5617977528089888,0.1474880624117291,,
2006-01,036570,4.75,0.0,0.051493305870236865,0.21052631578947367,0.24450186275688018,,
2006-01,036710,3.41,0.0,0.0639386189258312,0.29325513196480935,0.21826923076923077,,
2006-01,036930,2.65,0.0,0.12919896640826872,0.37735849056603776,0.3428394296342219,,
2006-01,037150,4.09,0.0,,0.24449877750611249,0.0,,-0.010121457489878583
2006-01,037710,2.84,0.59,0.0449842555105713,0.35211267605633806,0.127780462202376,,
2006-01,039130,11.97,0.0,0.02343566908835247,0.0835421888053467,0.2805755395683453,,
2006-01,039230,7.35,0.0,0.04730368968779565,0.1360544217687075,0.34755134281200634,,
2006-01,039490,5.78,0.0,0.01631587534671235,0.17301038062283736,0.0943452827358632,,
2006-01,040350,6.87,0.0,,0.14556040756914118,0.0,,
2006-01,041960,7.43,0.0,0.0012257155114297972,0.13458950201884254,0.009103019538188277,,
2006-01,042100,7.16,0.68,0.020721094073767096,0.13966480446927373,0.1482541499713795,,-0.07199999999999995
2006-01,042420,5.42,0.0,0.003000030000300003,0.18450184501845018,0.016251095355691865,,
2006-01,042660,2.56,1.47,0.05333333333333334,0.390625,0.13635385277658202,,
2006-01,042670,2.58,1.56,0.04574565416285453,0.38759689922480617,0.1178174794785128,,
2006-01,043650,2.15,0.0,0.06684491978609625,0.46511627906976744,0.14336633663366335,,
2006-01,043890,5.59,0.0,,0.17889087656529518,0.0,,-0.07788944723618085
