date,open,high,low,close,adjclose,volume
2004-08-19,2.5025029,2.604104,2.401401,2.5110109,2.488941,893181924
2004-08-20,2.5277779,2.7297299,2.5150149,2.7104599,2.6866367,456686856
2004-08-23,2.771522,2.8398399,2.7289791,2.7377379,2.7136748,365122512
2004-08-24,2.7837839,2.792793,2.5918419,2.6243739,2.6013079,304946748
2004-08-25,2.626627,2.702703,2.5996001,2.652653,2.629338,183772044
2004-08-26,2.6263759,2.7014511,2.6191189,2.7004499,2.6767149,141897960
2004-08-27,2.705205,2.7182181,2.6448951,2.6564059,2.6330583,124235640
2004-08-30,2.634635,2.63989,2.552803,2.552803,2.5303659,103935960
2004-08-31,2.56006,2.595345,2.5565569,2.5618119,2.5392954,98357544
2004-09-01,2.57007,2.576827,2.4942441,2.508759,2.4867086,182765052
2004-09-02,2.4822321,2.5618119,2.475976,2.5402901,2.5179629,302373324
2004-09-03,2.5262761,2.546046,2.4854851,2.502753,2.4807553,103048848
2004-09-07,2.5277779,2.5525529,2.492743,2.542042,2.5196993,116950932
2004-09-08,2.5210209,2.5783279,2.5150149,2.56006,2.5375593,99712188
2004-09-09,2.5658159,2.5703199,2.527528,2.5603099,2.5378067,81234684
2004-09-10,2.5425429,2.666667,2.5350349,2.635886,2.6127186,173977848
2004-09-13,2.6684179,2.7129631,2.6641641,2.6901901,2.6665454,156882960
2004-09-14,2.6889391,2.802803,2.6724219,2.79004,2.7655175,216579204
2004-09-15,2.766767,2.858609,2.7577579,2.802803,2.7781682,214261524
2004-09-16,2.811311,2.897898,2.794044,2.852102,2.827034,185326488
2004-09-17,2.863363,2.9401901,2.8415921,2.9401901,2.9143479,189450360
2004-09-20,2.926677,3.0430429,2.9221721,2.9869871,2.9607337,212575212
2004-09-21,2.9982481,3.013514,2.940691,2.9489491,2.9230301,144575280
2004-09-22,2.937938,2.994745,2.923173,2.9624619,2.936424,151624224
2004-09-23,2.973974,3.068819,2.9284279,3.023524,2.9969497,170713116
2004-09-24,3.0265269,3.1056061,2.9969971,2.998749,2.9723921,182469348
2004-09-27,2.991992,3.0250249,2.947948,2.9594591,2.9334478,141322536
2004-09-28,3.0355361,3.1881881,3.0082581,3.174675,3.1467719,338581080
2004-09-29,3.170671,3.3788791,3.1589091,3.2802801,3.2514486,610329060
2004-09-30,3.250751,3.310811,3.2282281,3.243243,3.2147372,275160564
2004-10-01,3.273273,3.359359,3.2257259,3.3178179,3.2886569,302497200
2004-10-04,3.384635,3.425175,3.354104,3.37988,3.3501732,260455284
2004-10-05,3.3698699,3.466717,3.309309,3.462713,3.4322777,299464236
2004-10-06,3.4421921,3.464715,3.403403,3.4304299,3.4002788,267628104
2004-10-07,3.4264259,3.5005009,3.4171669,3.474725,3.4441845,282301416
2004-10-08,3.4714711,3.4954951,3.4289291,3.446697,3.4164028,221390388
2004-10-11,3.4284279,3.4749751,3.3496001,3.3848851,3.3551345,209442348
2004-10-12,3.3643639,3.4436941,3.3383379,3.4384379,3.4082167,233310456
2004-10-13,3.586587,3.5923419,3.505506,3.526026,3.4950347,395324280
